City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","NO2","WHO_2021_AQG_Scen_Base","302","21.0","23.3","409","206","798","5396","2730","10543"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","O3","WHO_2021_AQG_Scen_Base","303","3494.3","3491.5","66","51","78","898","711","1085"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","PM10","WHO_2021_AQG_Scen_Base","302","33.5","34.0","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","PM2.5","WHO_2021_AQG_Scen_Base","303","25.6","25.9","2335","1802","2591","30844","23803","34216"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","NO2","WHO_2021_AQG_Scen_Sensitivity_2","303","21.0","23.3","709","361","1372","9363","4760","18127"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702838","2014","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","302","25.6","25.9","2840","2202","3144","37520","29083","41533"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","NO2","WHO_2005_HRAPIE_Scen_Base","303","21.5","23.2","297","171","424","3776","2164","5400"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","O3","WHO_2005_HRAPIE_Scen_Base","302","3949.9","3856.7","51","25","76","682","330","1009"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","PM10","WHO_2005_HRAPIE_Scen_Base","303","33.1","33.7","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","25.1","25.7","2382","1595","3081","30355","20320","39264"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","NO2","WHO_2021_AQG_Scen_Base","302","21.5","23.2","431","218","841","5481","2772","10713"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","O3","WHO_2021_AQG_Scen_Base","302","3949.9","3856.7","76","60","91","1009","799","1219"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","PM10","WHO_2021_AQG_Scen_Base","303","33.1","33.7","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","PM2.5","WHO_2021_AQG_Scen_Base","303","25.1","25.7","2450","1890","2718","31212","24083","34626"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","NO2","WHO_2021_AQG_Scen_Sensitivity_2","302","21.5","23.2","747","380","1447","9527","4842","18448"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1702291","2015","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","303","25.1","25.7","2985","2314","3304","38029","29473","42100"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","NO2","WHO_2005_HRAPIE_Scen_Base","302","21.9","24.4","396","227","564","5206","2991","7429"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","O3","WHO_2005_HRAPIE_Scen_Base","302","3565.0","3524.1","46","22","68","632","306","936"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","PM10","WHO_2005_HRAPIE_Scen_Base","302","30.6","31.3","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","PM2.5","WHO_2005_HRAPIE_Scen_Base","303","22.7","23.2","2127","1420","2757","27993","18691","36293"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","NO2","WHO_2021_AQG_Scen_Base","303","21.9","24.4","460","233","896","6047","3061","11805"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","O3","WHO_2021_AQG_Scen_Base","303","3565.0","3524.1","68","53","83","936","741","1131"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","PM10","WHO_2021_AQG_Scen_Base","302","30.6","31.3","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","PM2.5","WHO_2021_AQG_Scen_Base","303","22.7","23.2","2133","1642","2370","28079","21616","31185"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","NO2","WHO_2021_AQG_Scen_Sensitivity_2","302","21.9","24.4","771","392","1491","10146","5161","19624"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700571","2016","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","302","22.7","23.2","2670","2064","2959","35140","27173","38942"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","NO2","WHO_2005_HRAPIE_Scen_Base","302","22.1","24.3","397","227","566","5020","2882","7168"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","O3","WHO_2005_HRAPIE_Scen_Base","303","2320.3","2258.4","31","15","45","406","196","602"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","PM10","WHO_2005_HRAPIE_Scen_Base","302","31.5","32.2","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","PM2.5","WHO_2005_HRAPIE_Scen_Base","302","23.1","23.6","2251","1503","2916","28494","19035","36929"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","NO2","WHO_2021_AQG_Scen_Base","303","22.1","24.3","476","240","928","6015","3045","11745"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","O3","WHO_2021_AQG_Scen_Base","302","2320.3","2258.4","45","36","56","602","475","726"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","PM10","WHO_2021_AQG_Scen_Base","302","31.5","32.2","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","PM2.5","WHO_2021_AQG_Scen_Base","302","23.1","23.6","2267","1746","2518","28713","22114","31885"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","NO2","WHO_2021_AQG_Scen_Sensitivity_2","302","22.1","24.3","799","406","1546","10120","5146","19574"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700829","2017","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","302","23.1","23.6","2823","2184","3129","35757","27660","39620"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","NO2","WHO_2005_HRAPIE_Scen_Base","302","23.4","25.7","532","306","759","6639","3817","9462"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","O3","WHO_2005_HRAPIE_Scen_Base","302","3955.3","3897.1","55","26","80","708","342","1047"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","PM10","WHO_2005_HRAPIE_Scen_Base","302","32.8","33.6","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","PM2.5","WHO_2005_HRAPIE_Scen_Base","303","22.7","23.1","2266","1513","2938","28262","18872","36645"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","NO2","WHO_2021_AQG_Scen_Base","302","23.4","25.7","535","272","1044","6683","3385","13029"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","O3","WHO_2021_AQG_Scen_Base","302","3955.3","3897.1","80","64","97","1046","828","1265"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","PM10","WHO_2021_AQG_Scen_Base","302","32.8","33.6","","","","","",""
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","PM2.5","WHO_2021_AQG_Scen_Base","303","22.7","23.1","2271","1748","2522","28321","21803","31454"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","NO2","WHO_2021_AQG_Scen_Sensitivity_2","302","23.4","25.7","867","441","1677","10826","5509","20912"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700996","2018","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","302","22.7","23.1","2845","2201","3153","35480","27435","39322"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","NO2","WHO_2005_HRAPIE_Scen_Base","303","22.3","24.4","414","238","590","5247","3013","7490"
"Urban Centres (grid)","Poland","Warszawa","GEOSTAT11_171","1700821","2019","O3","WHO_2005_HRAPIE_Scen_Base","302","3987.9","3985.7","55","26","82","725","351","1073"
